vcmd,frequency_hz,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VNX_mag,VNX_db,input_current_mag,input_impedance_mag
2.5,100,0.0013747581035255013,-57.235474233706725,84.34213593888558,0.001371245278748565,-57.25769709415286,0.9999889962351477,-0.00009557801297026878,6.282300710184004e-7,1591773.5335065022
2.5,200,0.0027382771551146337,-51.2504519359819,86.74287679740856,0.0027365150612962013,-51.25604314469351,0.9999560019459304,-0.0003821706493825006,0.000001256415140487469,795915.2733641971
2.5,500,0.006836159424602531,-43.303756354901324,87.52083156350679,0.006835454116369972,-43.30465255189459,0.9997251436925059,-0.0023876997054161375,0.0000031402510243752704,318445.8797203776
2.5,1000,0.013657871710153832,-37.29233941945719,86.66305637244139,0.013657519324802811,-37.292563526098405,0.9989021008334926,-0.00954146973879668,0.00000627489159884457,159365.3028498748
2.5,2000,0.027217587820275526,-31.303007342216024,84.14936875083882,0.027217412247783204,-31.30306337246457,0.9956324215758035,-0.03801939108395257,0.000012505198475283712,79966.74358879478
2.5,5000,0.06641447347302724,-23.55474532092149,76.1649651914204,0.06641440492443779,-23.554754285922023,0.9737049024183319,-0.23145286796739914,0.00003051466893062448,32771.12402148337
2.5,10000,0.12285645520870019,-18.212040391677025,63.908306120408724,0.12285642350754716,-18.2120426329329,0.9068659026718157,-0.8491385374140332,0.00005644748791239597,17715.580214162164
2.5,20000,0.19559850260700282,-14.172689485038399,45.63676948529025,0.19559848998922338,-14.172690045352727,0.7415137916840262,-2.5976153391970396,0.00008986950345944998,11127.24518892229
3,20,0.0002554901920336975,-71.85251534521568,58.50308485166184,0.0002350021143412146,-72.5785646062596,0.9999995990879397,-0.000003482278608619144,1.25646904230881e-7,7958811.2904275125
3,50,0.0005460970764246575,-65.25460296978491,75.68634507693619,0.0005367732942495614,-65.40418198973822,0.9999975215314721,-0.000021527730782283925,3.1411640810515406e-7,3183533.1558523313
3,100,0.0010629090010765721,-59.4700783035507,82.5023613691017,0.0010581457650825927,-59.509090037121965,0.999990101905848,-0.00008597417892216803,6.282278467676289e-7,1591779.169206238
3,200,0.002110845532131688,-53.51087092832667,85.83951856958535,0.0021084507840790244,-53.52073063855846,0.9999604251947479,-0.0003437491928159761,0.0000012564162926163132,795914.543512993
3,500,0.005265474927769971,-45.57124901679642,87.23390260723525,0.005264515743976421,-45.57283142362966,0.9997527677022917,-0.0021476979539503793,0.000003140351869547174,318435.65356394154
3,1000,0.01051971627222579,-39.559919468034174,86.65422843600149,0.010519236948512018,-39.560315243701886,0.9990122672375796,-0.00858357760489517,0.000006275790798202979,159342.46888636597
3,2000,0.020972441353218567,-33.56702022758655,84.41214838245496,0.020972202424114968,-33.56711918238212,0.996067853611482,-0.03422151575687016,0.000012512507431119297,79920.03245592045
3,5000,0.051325230704927505,-25.793381796321583,76.98021910846391,0.051325137145747636,-25.793397629576308,0.9762123216185536,-0.20911430078571686,0.00003062209720220978,32656.156545928443
3,10000,0.09576628625555648,-20.375747077326483,65.36160717442502,0.09576624261298239,-20.375751035657576,0.9145144129891868,-0.7761889107530197,0.0000571370618473401,17501.77498926737
3,20000,0.15542984538551705,-16.16931170018475,47.52949870410767,0.1554298276773877,-16.16931268976861,0.7542429812633026,-2.4497744507107977,0.00009273421118424824,10783.506833450687
