scenario,drive_v,cmd_v,sag_v,source_ohm,source_current_ua,iterations,diode,vd_v,raw_vd_v,id_ua,gd_us,rd_kohm,in_stated_range,left_path_v,right_path_v
b11_s6_s7_delivery_linear_r10k,5,4.185581096371762,0.8144189034703491,10000,81.4418903470349,54,D2_SSD55,0.5482318375863788,0.5482318375863788,37.44306916085531,434.19506091070957,2.3031123336652737,true,1.0964636704674553,1.0964636704674555
b11_s6_s7_delivery_linear_r10k,5,4.185581096371762,0.8144189034703491,10000,81.4418903470349,54,D1_OA154Q,0.5482318328810767,0.5482318328810767,37.443067152342024,434.19504134626897,2.3031124374414578,true,1.0964636704674553,1.0964636704674555
b11_s6_s7_delivery_linear_r10k,8,6.588208595514073,1.4117914043319866,10000,141.17914043319865,55,D3_SSD55,0.5999319828938305,0.5999319828938305,65.76312689947987,696.8802095088311,1.434966851339933,true,1.1998639611684094,1.1998639611684094
b11_s6_s7_delivery_linear_r10k,8,6.588208595514073,1.4117914043319866,10000,141.17914043319865,55,D4_OA154Q,0.5999319782745789,0.5999319782745789,65.76312373478335,696.8801813388189,1.4349669093456485,true,1.1998639611684094,1.1998639611684094
b11_s6_s7_delivery_linear_r10k,8,6.588208595514073,1.4117914043319866,10000,141.17914043319865,55,D2_SSD55,0.5999319828938305,0.5999319828938305,65.76312689947987,696.8802095088311,1.434966851339933,true,1.1998639611684094,1.1998639611684094
b11_s6_s7_delivery_linear_r10k,8,6.588208595514073,1.4117914043319866,10000,141.17914043319865,55,D1_OA154Q,0.5999319782745789,0.5999319782745789,65.76312373478335,696.8801813388189,1.4349669093456485,true,1.1998639611684094,1.1998639611684094
b11_s6_s7_delivery_linear_r10k,12,9.78258609145529,2.2174139084112934,10000,221.74139084112934,56,D3_SSD55,0.6455946275082098,0.6455946275082098,104.01459506784117,1024.2643725250582,0.9763104397888597,true,1.29118925034678,1.29118925034678
b11_s6_s7_delivery_linear_r10k,12,9.78258609145529,2.2174139084112934,10000,221.74139084112934,56,D4_OA154Q,0.64559462283857,0.64559462283857,104.01459036567722,1024.264333629963,0.9763104768629686,true,1.29118925034678,1.29118925034678
b11_s6_s7_delivery_linear_r10k,12,9.78258609145529,2.2174139084112934,10000,221.74139084112934,56,D2_SSD55,0.6455946275082098,0.6455946275082098,104.01459506784117,1024.2643725250582,0.9763104397888597,true,1.29118925034678,1.29118925034678
b11_s6_s7_delivery_linear_r10k,12,9.78258609145529,2.2174139084112934,10000,221.74139084112934,56,D1_OA154Q,0.64559462283857,0.64559462283857,104.01459036567722,1024.264333629963,0.9763104768629686,true,1.29118925034678,1.29118925034678
b11_s7_detector_r31_51k,0,0,0,51000,0,1,D3_SSD55,0,0,0,0.000001,1000000000,false,0,0
b11_s7_detector_r31_51k,0,0,0,51000,0,1,D4_OA154Q,0,0,0,0.000001,1000000000,false,0,0
b11_s7_detector_r31_51k,0,0,0,51000,0,1,D2_SSD55,0,0,0,0.000001,1000000000,false,0,0
b11_s7_detector_r31_51k,0,0,0,51000,0,1,D1_OA154Q,0,0,0,0.000001,1000000000,false,0,0
b11_s7_detector_r31_51k,0.5,0.4377561006080548,0.062243899248213996,51000,1.2204686127100783,51,D3_SSD55,0.20510751002308195,0.20510751002308195,0.08030260332307532,2.4890049145886515,401.76698492588804,false,0.4102149349450327,0.4102149349450327
b11_s7_detector_r31_51k,0.5,0.4377561006080548,0.062243899248213996,51000,1.2204686127100783,51,D4_OA154Q,0.20510742492195078,0.20510742492195078,0.08030239508365815,2.4889994928516748,401.76786008674065,false,0.4102149349450327,0.4102149349450327
