hypothesis,frequency_hz,zout_mag_ohm,zout_phase_deg,zout_re_ohm,zout_im_ohm,network_current_mag_a
core_without_m0_shunt,10000,3032.5866573612807,-66.14991905485098,1226.2109112540886,-2773.6237371941934,0.00032975150028198097
core_without_m0_shunt,13600,2318.6059641866345,-71.99213989435461,716.7911489549111,-2205.026998914465,0.0004312936374037144
core_without_m0_shunt,20000,1618.7867055530312,-77.53529109982371,349.3960530766982,-1580.630505896195,0.0006177466102048119
core_series_lm_mr_only,20,14999.940042512753,-0.16199956830557416,14999.880085265171,-42.41116177253721,0.0000666669331454529
core_series_lm_mr_only,50,14999.625277500056,-0.4049932549444505,14999.250564361246,-106.02345461028716,0.0000666683321416058
core_series_lm_mr_only,100,14998.50127847813,-0.8099460444079116,14997.002706700676,-212.0151308815669,0.00006667332831680554
core_series_lm_mr_only,200,14994.007807876453,-1.619568510454067,14988.018009510668,-423.77622543495204,0.00006669330927483534
core_series_lm_mr_only,500,14962.66619110703,-4.043274891908885,14925.425303099824,-1055.0161458882362,0.00006683300871834887
core_series_lm_mr_only,1000,14852.31544460451,-8.046675931387464,14706.084937735848,-2079.02377815563,0.00006732956916581487
core_series_lm_mr_only,2000,14434.13231844284,-15.787896975120818,13889.61171908774,-3927.1951924110663,0.00006928022952389564
core_series_lm_mr_only,3200,13666.575784431137,-24.341488970051927,12451.686244773306,-5633.010148519425,0.00007317121829004107
core_series_lm_mr_only,4200,12897.758810168903,-30.700189015018715,11090.14548835264,-6584.896003162172,0.0000775328500647396
core_series_lm_mr_only,5000,12248.883048988177,-35.25489908665635,10002.342396519327,-7070.23921310884,0.0000816400969786878
core_series_lm_mr_only,10000,8662.282850377858,-54.72611860941475,5002.342945330026,-7071.895731503491,0.00011544300933978144
core_series_lm_mr_only,13600,6921.48721158437,-62.52041843868381,3193.799014675065,-6140.572699185847,0.00014447762011700577
core_series_lm_mr_only,20000,5001.561963591452,-70.52245106605704,1667.7081383763189,-4715.3336722694585,0.00019993754096808865
