scenario,drive_v,cmd_dc_v,source_ohm,frequency_hz,bjt_stamp_mode,all_diodes_in_range,any_diode_out_of_range,max_residual,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VCMD_mag,input_impedance_ohm
rsource_51k,0,0,51000,40,NONE_GUARDED,false,true,0,0.9108876176187325,-0.8107040315334935,5.0760708470148135,0.9108834884485978,-0.8107434058719791,0.6542965902940632,65941.5522108018
rsource_51k,0,0,51000,100,NONE_GUARDED,false,true,0,0.9141025063955055,-0.7801020051102819,2.035373656980439,0.9141018433927368,-0.7801083050284275,0.6566083663806982,65709.38626330283
rsource_51k,0,0,51000,1000,NONE_GUARDED,false,true,0,0.9147125715205132,-0.7743070413565472,0.20363109116254471,0.9147125648860535,-0.7743071043557748,0.6570470536505455,65665.51441104649
rsource_51k,0,0,51000,5000,NONE_GUARDED,false,true,0,0.9147184932931828,-0.7742508098156502,0.040726400178350504,0.9147184930278026,-0.7742508123356198,0.6570513118932103,65665.08884352991
rsource_51k,0,0,51000,15000,NONE_GUARDED,false,true,0,0.914718712620301,-0.7742487271520446,0.01357546887156276,0.9147187125908142,-0.7742487274320429,0.6570514696074863,65665.07308171752
rsource_51k,1,0.7776761446099046,51000,40,NONE_GUARDED,false,true,1.21452847778869e-10,0.7908094557309117,-2.0385629291196077,11.144266007596404,0.790746269536921,-2.0392569651237475,0.5680008414983518,29857.34922123007
rsource_51k,1,0.7776761446099046,51000,100,NONE_GUARDED,false,true,1.21452847778869e-10,0.8053822762250421,-1.8799586398997417,4.517354837068643,0.8053719720555931,-1.8800697690539785,0.578506627814581,29310.374270824937
rsource_51k,1,0.7776761446099046,51000,1000,NONE_GUARDED,false,true,1.21452847778869e-10,0.8082233101354154,-1.8493725627178117,0.45289064409431273,0.8082232067149311,-1.8493736741667877,0.5805546977811478,29206.07855600275
rsource_51k,1,0.7776761446099046,51000,5000,NONE_GUARDED,false,true,1.21452847778869e-10,0.8082510094820078,-1.84907488589777,0.09058037889085153,0.8082510053450409,-1.8490749303557876,0.5805746658112265,29205.06537417473
rsource_51k,1,0.7776761446099046,51000,15000,NONE_GUARDED,false,true,1.21452847778869e-10,0.8082520354393641,-1.8490638604284417,0.030193487322171593,0.8082520349797002,-1.8490638653682248,0.5805754054079538,29205.027848244434
rsource_51k,3,1.7758088059309642,51000,40,NONE_GUARDED,true,false,1.5788881313483216e-10,0.45987926580551547,-6.747123413183003,23.67531797890784,0.45892253944026046,-6.765212238386404,0.32964858466835606,13330.530903547811
rsource_51k,3,1.7758088059309642,51000,100,NONE_GUARDED,true,false,1.5788881313483216e-10,0.5097167351159851,-5.853422146777403,10.330586670761427,0.5095456395991399,-5.856338210055534,0.36601165661346663,11974.661452487167
