hypothesis,vcmd,frequency_hz,s6_zout_mag_ohm,s6_zout_phase_deg,VNA_mag,VNA_db,VCMD_NODE_mag,input_impedance_mag
core_without_m0_shunt,0,1000,7234.641671443737,-15.28664686045082,0.15447091416216374,-16.22306566562987,0.04131923284622145,163761.00641260864
core_without_m0_shunt,0,10000,2576.9843176737486,-69.90376959963548,0.6392718321318167,-3.8862886242658106,0.07835300379488146,31217.063536357953
core_without_m0_shunt,0,20000,1349.6279974114298,-79.63312926008594,0.7282464761218259,-2.7544321636536484,0.048449352150981485,26481.77063287162
core_without_m0_shunt,1,100,7497.200204712243,-1.5656102248429993,0.008403471116493881,-41.51082576600729,0.0022912886708815624,1591822.2406751437
core_without_m0_shunt,1,1000,7234.641671443737,-15.28664686045082,0.08260012822008674,-21.66038557048511,0.02209459978842193,160736.9515630524
core_without_m0_shunt,1,10000,2576.9843176737486,-69.90376959963548,0.48622484763353885,-6.263257021972233,0.05959464395055828,23966.80965433875
core_without_m0_shunt,1,20000,1349.6279974114298,-79.63312926008594,0.6019757904563741,-4.408419486558608,0.04004871701201097,18954.705345499253
core_without_m0_shunt,2,100,7497.200204712243,-1.5656102248429993,0.0020218192492059577,-53.88515345938363,0.0005506468540605161,1591778.5645762882
core_without_m0_shunt,2,1000,7234.641671443737,-15.28664686045082,0.020099513197961112,-33.93628921775883,0.005376331400839186,159445.14826583484
core_without_m0_shunt,2,10000,2576.9843176737486,-69.90376959963548,0.1705311803576051,-15.363924037922473,0.02090132550718495,18186.506388148304
core_without_m0_shunt,2,20000,1349.6279974114298,-79.63312926008594,0.2612943075206349,-11.657401031577164,0.017383591905037552,11799.289431646414
core_without_m0_shunt,3,100,7497.200204712243,-1.5656102248429993,0.0010877218457529196,-59.26964298060638,0.0002952701471523523,1591786.808580373
core_without_m0_shunt,3,1000,7234.641671443737,-15.28664686045082,0.010755217780085804,-39.36761582504324,0.0028767700382233384,159352.47460544892
core_without_m0_shunt,3,10000,2576.9843176737486,-69.90376959963548,0.0961110104853926,-20.344537133385113,0.011779938627531664,17519.063860610775
core_without_m0_shunt,3,20000,1349.6279974114298,-79.63312926008594,0.155520655470787,-16.164238439978188,0.010346598842649078,10791.71761867983
core_series_lm_mr_only,0,100,14995.83799351416,-1.3497502588218946,0.020166828113195458,-33.907248065751226,0.008641940783333461,1592365.835559576
core_series_lm_mr_only,0,1000,14600.197836713456,-13.25818090611812,0.19016653901451508,-14.417317949840777,0.08076947225990941,166180.46621474012
core_series_lm_mr_only,0,10000,5860.245805331529,-67.00299232820947,0.6408511895195065,-3.8648561045831418,0.16376042543861707,33847.89138417927
core_series_lm_mr_only,0,20000,3113.7619557864973,-78.01918643231379,0.7232003786869323,-2.8148271024900895,0.10790059448685764,27406.01287936581
core_series_lm_mr_only,1,100,14995.83799351416,-1.3497502588218946,0.009381167949789127,-40.554861777041154,0.00401994193360615,1591866.97531005
core_series_lm_mr_only,1,1000,14600.197836713456,-13.25818090611812,0.09209617007841336,-20.71516860092645,0.03911601501477728,161090.40168380356
core_series_lm_mr_only,1,10000,5860.245805331529,-67.00299232820947,0.49274959616764696,-6.147474459478122,0.12591516501925792,24924.666354701993
core_series_lm_mr_only,1,20000,3113.7619557864973,-78.01918643231379,0.6004234712054107,-4.430846781081837,0.08958243296065858,19348.221527732458
core_series_lm_mr_only,2,100,14995.83799351416,-1.3497502588218946,0.0020736886593953775,-53.665128947912095,0.0008876062069558704,1591786.0974883863
core_series_lm_mr_only,2,1000,14600.197836713456,-13.25818090611812,0.020622156869143992,-33.713318277286525,0.008758752150076267,159454.31351673361
core_series_lm_mr_only,2,10000,5860.245805331529,-67.00299232820947,0.17246501165596673,-15.26597995801544,0.04407098066355991,18251.117959834814
core_series_lm_mr_only,2,20000,3113.7619557864973,-78.01918643231379,0.2618828720310202,-11.637858097601676,0.03907259672452249,11835.737084102346
core_series_lm_mr_only,3,100,14995.83799351416,-1.3497502588218946,0.0011024468874303766,-59.152846487116946,0.0004703378884851333,1591791.0159750462
core_series_lm_mr_only,3,1000,14600.197836713456,-13.25818090611812,0.010903158677365885,-39.24895334866602,0.00463069288267889,159354.86047047534
core_series_lm_mr_only,3,10000,5860.245805331529,-67.00299232820947,0.09679211141880609,-20.28320072715596,0.02473383903579119,17537.467013227157
core_series_lm_mr_only,3,20000,3113.7619557864973,-78.01918643231379,0.15581773462663773,-16.147662279589934,0.02324780902217236,10802.914549954447
