transistor,type,collector,base,emitter,vc,vb,ve,driveVolt,outputVolt,bcReverseVolt,softActive,strictActive,reasons
Ts2,pnp,N10,N05,N9,10,0.5,9,8.5,-1,-9.5,false,false,base-emitter drive 8.500 V outside soft window; output voltage -1.000 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,npn,N9,N145,N10,9,14.5,10,4.5,-1,-5.5,false,false,base-emitter drive 4.500 V outside soft window; output voltage -1.000 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N9,N145,N10,9,14.5,10,-4.5,1,5.5,false,false,base-emitter drive -4.500 V outside soft window
Ts2,npn,N9,N145,N05,9,14.5,0.5,14,8.5,-5.5,false,false,base-emitter drive 14.000 V outside soft window; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N9,N145,N05,9,14.5,0.5,-14,-8.5,5.5,false,false,base-emitter drive -14.000 V outside soft window; output voltage -8.500 V below soft active limit
Ts2,npn,N9,N10,N145,9,10,14.5,-4.5,-5.5,-1,false,false,base-emitter drive -4.500 V outside soft window; output voltage -5.500 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N9,N10,N145,9,10,14.5,4.5,5.5,1,false,false,base-emitter drive 4.500 V outside soft window
Ts2,npn,N9,N10,N05,9,10,0.5,9.5,8.5,-1,false,false,base-emitter drive 9.500 V outside soft window; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N9,N10,N05,9,10,0.5,-9.5,-8.5,1,false,false,base-emitter drive -9.500 V outside soft window; output voltage -8.500 V below soft active limit
Ts2,npn,N9,N05,N145,9,0.5,14.5,-14,-5.5,8.5,false,false,base-emitter drive -14.000 V outside soft window; output voltage -5.500 V below soft active limit
Ts2,pnp,N9,N05,N145,9,0.5,14.5,14,5.5,-8.5,false,false,base-emitter drive 14.000 V outside soft window; base-collector junction not reverse biased by voltage ordering
Ts2,npn,N9,N05,N10,9,0.5,10,-9.5,-1,8.5,false,false,base-emitter drive -9.500 V outside soft window; output voltage -1.000 V below soft active limit
Ts2,pnp,N9,N05,N10,9,0.5,10,9.5,1,-8.5,false,false,base-emitter drive 9.500 V outside soft window; base-collector junction not reverse biased by voltage ordering
Ts2,npn,N05,N145,N10,0.5,14.5,10,4.5,-9.5,-14,false,false,base-emitter drive 4.500 V outside soft window; output voltage -9.500 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N05,N145,N10,0.5,14.5,10,-4.5,9.5,14,false,false,base-emitter drive -4.500 V outside soft window
Ts2,npn,N05,N145,N9,0.5,14.5,9,5.5,-8.5,-14,false,false,base-emitter drive 5.500 V outside soft window; output voltage -8.500 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N05,N145,N9,0.5,14.5,9,-5.5,8.5,14,false,false,base-emitter drive -5.500 V outside soft window
Ts2,npn,N05,N10,N145,0.5,10,14.5,-4.5,-14,-9.5,false,false,base-emitter drive -4.500 V outside soft window; output voltage -14.000 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N05,N10,N145,0.5,10,14.5,4.5,14,9.5,false,false,base-emitter drive 4.500 V outside soft window
Ts2,npn,N05,N10,N9,0.5,10,9,1,-8.5,-9.5,false,false,base-emitter drive 1.000 V outside soft window; output voltage -8.500 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N05,N10,N9,0.5,10,9,-1,8.5,9.5,false,false,base-emitter drive -1.000 V outside soft window
Ts2,npn,N05,N9,N145,0.5,9,14.5,-5.5,-14,-8.5,false,false,base-emitter drive -5.500 V outside soft window; output voltage -14.000 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N05,N9,N145,0.5,9,14.5,5.5,14,8.5,false,false,base-emitter drive 5.500 V outside soft window
Ts2,npn,N05,N9,N10,0.5,9,10,-1,-9.5,-8.5,false,false,base-emitter drive -1.000 V outside soft window; output voltage -9.500 V below soft active limit; base-collector junction not reverse biased by voltage ordering
Ts2,pnp,N05,N9,N10,0.5,9,10,1,9.5,8.5,false,false,base-emitter drive 1.000 V outside soft window
