scenario,mode,s7Position,s7Closed,zenerPath,zenerFraction,zenerVolt,diodeDropVolt,rectifierDropVolt,seriesOhm,thresholdPeakVolt,thresholdRmsVolt,ueRms,peakVolt,conductionDuty,averageExcessVolt,averageCurrentAmp,peakCurrentAmp,c11SlopeVoltPerSecond
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,12.25,17.324116139070416,0.5476337310179415,2.171480055914552,0.000042578040312050035,0.00011811992429549833,0.08515608062410007
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,12.5,17.67766952966369,0.5585109006066182,2.3433442444554147,0.00004594792636187088,0.00012505234371889586,0.09189585272374176
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,12.75,18.031222920256962,0.5688178957988941,2.5176018529407482,0.00004936474221452448,0.00013198476314229337,0.09872948442904896
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,13,18.38477631085024,0.5786034223659552,2.694085076994795,0.00005282519758813323,0.00013891718256569093,0.10565039517626645
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,13.25,18.73832970144351,0.5879102486592138,2.872642493413909,0.00005632632340027273,0.00014584960198908844,0.11265264680054546
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,13.5,19.091883092036785,0.5967761537243642,3.0531369707138247,0.00005986543079831029,0.00015278202141248595,0.11973086159662058
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,13.75,19.445436482630058,0.605234688938679,3.235443912689045,0.00006344007671939303,0.00015971444083588346,0.12688015343878606
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,14,19.79898987322333,0.6133157963631566,3.4194497710163994,0.00006704803472581176,0.00016664686025928097,0.1340960694516235
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,14.25,20.152543263816607,0.6210463155979806,3.6050507772981937,0.00007068727014310184,0.00017357927968267856,0.14137454028620366
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,14.5,20.50609665440988,0.6284504028774658,3.792151855629653,0.00007435591873783633,0.00018051169910607607,0.14871183747567265
