scenario,vcmd,frequency_hz,command_model,zcmd_ohm,c4_f,c6_f,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,VCMD_NODE_db,input_impedance_mag
cmd_1M_c4c6_0,0,20000,finite command impedance 1000000 Ohm,1000000,0,0,0.9801620604616388,-0.17404223828459303,0.9801620604608331,-0.17404223829173282,0.9609431965302286,-0.346045673530083,287834.07264361763
cmd_1M_c4c6_0,1,100,finite command impedance 1000000 Ohm,1000000,0,0,0.015954391500536798,-35.94239510236288,0.015954075997798422,-35.94256687005848,0.01564125097823375,-36.11457030529683,1592063.792277651
cmd_1M_c4c6_0,1,1000,finite command impedance 1000000 Ohm,1000000,0,0,0.15661840184420314,-16.103144238936046,0.15661837086541402,-16.103145956986843,0.1535474224170726,-16.275149392225195,162166.4351291491
cmd_1M_c4c6_0,1,10000,finite command impedance 1000000 Ohm,1000000,0,0,0.7288655577989126,-2.747051433383772,0.7288655563572285,-2.747051450564319,0.7145740748600282,-2.9190548858026673,34846.24292768738
cmd_1M_c4c6_0,1,20000,finite command impedance 1000000 Ohm,1000000,0,0,0.7936044090069627,-2.007918560976861,0.7936044086145287,-2.007918565271996,0.7780435378573811,-2.1799220005103472,32003.635358734926
cmd_1M_c4c6_0,2,100,finite command impedance 1000000 Ohm,1000000,0,0,0.0022809409231153524,-52.8377192580555,0.0022784217161042164,-52.84731777347638,0.00223374678049433,-53.019321208714715,1591813.474493296
cmd_1M_c4c6_0,2,1000,finite command impedance 1000000 Ohm,1000000,0,0,0.02271390165868697,-32.87416517707882,0.022713649636679642,-32.874261551868116,0.022268283957529063,-33.04626498710647,159445.56505322616
cmd_1M_c4c6_0,2,10000,finite command impedance 1000000 Ohm,1000000,0,0,0.19686483962396692,-14.116636852537896,0.1968648177798296,-14.116637816324914,0.19300472331355842,-14.288641251563266,18396.066813960835
cmd_1M_c4c6_0,2,20000,finite command impedance 1000000 Ohm,1000000,0,0,0.29730576928952535,-10.535933262501002,0.2973057610422548,-10.535933503447833,0.29147623631593617,-10.707936938686181,12181.18993669553
cmd_1M_c4c6_0,3,100,finite command impedance 1000000 Ohm,1000000,0,0,0.0011579825113687177,-58.725959991332545,0.0011529594789601715,-58.76371911643454,0.0011303524303531093,-58.93572255167289,1591806.2182559872
cmd_1M_c4c6_0,3,1000,finite command impedance 1000000 Ohm,1000000,0,0,0.011460699763436347,-38.81577729114039,0.011460194382165497,-38.81616032034655,0.011235484688397548,-38.9881637555849,159352.02070630068
cmd_1M_c4c6_0,3,10000,finite command impedance 1000000 Ohm,1000000,0,0,0.10396375638305207,-19.662360742143296,0.10396371053065667,-19.66236457298731,0.10192520640260459,-19.83436800822566,17564.91816059524
cmd_1M_c4c6_0,3,20000,finite command impedance 1000000 Ohm,1000000,0,0,0.16775804393193744,-15.506332928216967,0.16775802543482338,-15.506333885929015,0.16446865238708175,-15.678337321167366,10885.400996481036
cmd_open_c4c6_0,0,100,open AC command port,Infinity,0,0,0.23779386516827694,-12.475987078276972,0.23779386107706726,-12.475987227716471,0.23779386107706726,-12.475987227716471,1640046.8761223864
cmd_open_c4c6_0,0,1000,open AC command port,Infinity,0,0,0.9145939641334134,-0.7754333814815864,0.9145939639760589,-0.7754333829759812,0.9145939639760589,-0.7754333829759812,426411.1664646126
cmd_open_c4c6_0,0,10000,open AC command port,Infinity,0,0,0.9850470846503233,-0.13086019989356085,0.9850470846486284,-0.13086019990850575,0.9850470846486284,-0.13086019990850575,395913.13460882596
cmd_open_c4c6_0,0,20000,open AC command port,Infinity,0,0,0.9856446194579781,-0.12559289040783428,0.9856446194575542,-0.1255928904115697,0.9856446194575542,-0.1255928904115697,395673.1171881771
cmd_open_c4c6_0,1,100,open AC command port,Infinity,0,0,0.016361616245859835,-35.72347595462881,0.016361295953870564,-35.72364598967055,0.016361295953870564,-35.72364598967055,1592083.8038979117
cmd_open_c4c6_0,1,1000,open AC command port,Infinity,0,0,0.1604931875460064,-15.890867947296679,0.1604931561209818,-15.890869648018848,0.1604931561209818,-15.890869648018848,162292.3699334864
cmd_open_c4c6_0,1,10000,open AC command port,Infinity,0,0,0.7352770891897434,-2.6709793236629076,0.7352770877500466,-2.670979340670166,0.7352770877500466,-2.670979340670166,35424.4647365789
cmd_open_c4c6_0,1,20000,open AC command port,Infinity,0,0,0.7981921625996218,-1.9578508168441513,0.7981921622089001,-1.9578508210959664,0.7981921622089001,-1.9578508210959664,32632.23866133872
cmd_open_c4c6_0,2,100,open AC command port,Infinity,0,0,0.0022890667148050877,-52.80683099273469,0.0022865417517680337,-52.81641728171307,0.0022865417517680337,-52.81641728171307,1591814.7275020797
cmd_open_c4c6_0,2,1000,open AC command port,Infinity,0,0,0.02279471178151786,-32.84331789375252,0.022794459185240406,-32.843414145706326,0.022794459185240406,-32.843414145706326,159446.4294728405
cmd_open_c4c6_0,2,10000,open AC command port,Infinity,0,0,0.19749671297174176,-14.088802562787272,0.1974966910854229,-14.08880352534588,0.1974966910854229,-14.08880352534588,18402.548969613177
cmd_open_c4c6_0,2,20000,open AC command port,Infinity,0,0,0.29812587132056634,-10.512006686376697,0.29812586306108685,-10.512006927016424,0.29812586306108685,-10.512006927016424,12190.965564784512
cmd_open_c4c6_0,3,100,open AC command port,Infinity,0,0,0.0011600574773766384,-58.71040984495992,0.0011550286292810578,-58.748145018732146,0.0011550286292810578,-58.748145018732146,1591806.8339230139
cmd_open_c4c6_0,3,1000,open AC command port,Infinity,0,0,0.011481239268194058,-38.80022464592018,0.011480733303427337,-38.800607431337376,0.011480733303427337,-38.800607431337376,159352.23329783708
cmd_open_c4c6_0,3,10000,open AC command port,Infinity,0,0,0.10414197379115366,-19.64748390895396,0.10414192788939186,-19.647487737359647,0.10414192788939186,-19.647487737359647,17566.30852589012
cmd_open_c4c6_0,3,20000,open AC command port,Infinity,0,0,0.16802439424913787,-15.492553232304239,0.16802437573444795,-15.492554189406704,0.16802437573444795,-15.492554189406704,10887.63779920793
cmd_100k_c4c6_100p,0,100,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.05754704768001418,-24.799539039004436,0.057547029797028665,-24.799541738181347,0.04795585816419057,-26.383166659133845,1594597.0284200038
cmd_100k_c4c6_100p,0,1000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.4918207182060022,-6.1638636065771655,0.4918207166776481,-6.163863633568942,0.4098505972313734,-7.747488554521439,186580.84053194517
cmd_100k_c4c6_100p,0,10000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.9301381084933771,-0.6290512374501378,0.9301381084644724,-0.6290512377200577,0.7751150903870605,-2.2126761586725525,98656.66385847739
cmd_100k_c4c6_100p,0,20000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.9393515396182127,-0.5434369694779397,0.939351539610915,-0.5434369695454195,0.7827929496757626,-2.127061890497915,97689.01081138205
cmd_100k_c4c6_100p,1,100,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.013444616557684383,-37.42903158804968,0.013444328421426607,-37.429217740369,0.011203607017855508,-39.01284266132149,1591950.332636703
cmd_100k_c4c6_100p,1,1000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.13256115732727342,-17.551674259146974,0.1325611289113724,-17.551676121060463,0.1104676074261437,-19.135301042012955,161446.11281354065
cmd_100k_c4c6_100p,1,10000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.6827963810219514,-3.3141757882392793,0.6827963795583014,-3.31417580685845,0.5689969829652511,-4.897800727810946,31343.849163145795
