scenario,drive_v,cmd_dc_v,sag_v,source_ohm,source_current_ua,frequency_hz,command_model,all_diodes_in_range,any_diode_out_of_range,left_path_v,right_path_v,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,input_impedance_mag
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,1000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,0.91206478579754,0.91206478579754,0.4580339651206422,-6.782046321252762,0.4580319006431281,-6.7820854708914915,0.059743291388234115,10338.342118002534
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,5000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,0.91206478579754,0.91206478579754,0.458160471474027,-6.7796476595994974,0.45816038887056254,-6.779649225611157,0.05976005072224731,10335.387018077716
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,15000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,0.91206478579754,0.91206478579754,0.45816515900288185,-6.779558793028587,0.45816514982461864,-6.779558967029993,0.05976067171625463,10335.277553685677
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,20000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,0.91206478579754,0.91206478579754,0.458165415356461,-6.77955393308184,0.458165410193685,-6.779554030957632,0.05976070567743718,10335.27156731822
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,40,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.0080278585182643,1.008027858518264,0.2905714746998016,-10.734940449661003,0.288401219685976,-10.80005814522631,0.03761755039382295,10756.1732639063
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,100,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.0080278585182643,1.008027858518264,0.3410093536754247,-9.344674168307849,0.34059135933509666,-9.355327482176985,0.044424959913273485,9039.838833242546
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,1000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.0080278585182643,1.008027858518264,0.3542827085737032,-9.013000873984565,0.3542783447571479,-9.013107861600725,0.04621021888136713,8678.175238253614
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,5000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.0080278585182643,1.008027858518264,0.3544198434559507,-9.009639411649806,0.35441966882746556,-9.00964369133152,0.046228652455756386,8674.59429536358
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,15000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.0080278585182643,1.008027858518264,0.3544249258560365,-9.009514856406813,0.35442490645255925,-9.009515331927734,0.04622933562424687,8674.461639428562
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,20000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.0080278585182643,1.008027858518264,0.354425203806657,-9.009508044675213,0.3544251928921915,-9.00950831215575,0.04622937298593802,8674.45438474854
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,40,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.123677108888958,1.1236771088889579,0.1975930449844776,-14.084566921488214,0.1933364423358788,-14.273725546052434,0.02521779682641898,9824.597569066862
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,100,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.123677108888958,1.1236771088889579,0.23690359746064352,-12.50856688639368,0.23602758642200844,-12.540744692234256,0.03078620692460981,7880.043546630937
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,1000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.123677108888958,1.1236771088889579,0.24842381134782116,-12.096135590090135,0.24841449714193944,-12.096461258070974,0.03240189093155732,7456.666956326079
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,5000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.123677108888958,1.1236771088889579,0.2485457834116872,-12.091872005685328,0.24854541061009877,-12.091885033932432,0.03241896660131723,7452.443621044412
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,15000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.123677108888958,1.1236771088889579,0.24855030505605485,-12.091713989942006,0.24855026363269503,-12.091715437531306,0.03241959960426457,7452.287155210943
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,20000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.123677108888958,1.1236771088889579,0.2485505523420603,-12.091705348239138,0.24855052904139086,-12.091706162508313,0.03241963422279012,7452.2785983908425
b11_s6_s7_delivery_linear_r3k,8,7.507203849958656,0.49279614988740317,3000,164.26538329580106,40,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.2298161596493005,1.2298161596493005,0.14221324749412279,-16.94119892365515,0.1352343666525234,-17.378258571594703,0.017639265215546533,9349.59753947764
b11_s6_s7_delivery_linear_r3k,8,7.507203849958656,0.49279614988740317,3000,164.26538329580106,100,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.2298161596493005,1.2298161596493005,0.16727988752134856,-15.53112544418001,0.16573605450897522,-15.611660082547715,0.02161774624030112,7261.734610686679
