scenario,vcmd,frequency_hz,command_model,zcmd_ohm,all_diodes_in_range,any_diode_out_of_range,left_path_v,right_path_v,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,input_impedance_mag
empirical_cmd_10k_c4c6_0,0.75,40,finite command impedance 10000 Ohm,10000,false,true,0.626302992449209,0.626302992449209,0.004271194207916887,-47.3890136217604,0.004270780301716337,-47.38985538113986,0.0014235934339054456,3979182.92000752
empirical_cmd_10k_c4c6_0,0.75,100,finite command impedance 10000 Ohm,10000,false,true,0.626302992449209,0.626302992449209,0.010675210578416467,-39.43247098715052,0.010675044963519856,-39.43260574082704,0.0035583483211732853,1591807.8630935373
empirical_cmd_10k_c4c6_0,0.75,1000,finite command impedance 10000 Ohm,10000,false,true,0.626302992449209,0.626302992449209,0.10569982785633195,-19.518514399756114,0.1056998114563085,-19.51851574742912,0.03523327048543616,160760.16751638608
empirical_cmd_10k_c4c6_0,0.75,5000,finite command impedance 10000 Ohm,10000,false,true,0.626302992449209,0.626302992449209,0.43530715120883134,-7.224083964225163,0.43530714850719787,-7.224084018132135,0.1451023828357326,39035.23416545474
empirical_cmd_10k_c4c6_0,0.75,15000,finite command impedance 10000 Ohm,10000,false,true,0.626302992449209,0.626302992449209,0.6807796495757925,-3.3398687003328815,0.6807796491063366,-3.3398687063225467,0.2269265497021122,24960.082737522782
empirical_cmd_10k_c4c6_0,0.75,20000,finite command impedance 10000 Ohm,10000,false,true,0.626302992449209,0.626302992449209,0.7094023690870851,-2.9821473102409173,0.7094023688119137,-2.982147313610104,0.2364674562706379,23953.002004009035
empirical_cmd_10k_c4c6_0,1,40,finite command impedance 10000 Ohm,10000,true,false,0.7280419230067877,0.7280419230067876,0.0029080517309855495,-50.72795744263043,0.0029071281297192177,-50.73071653140448,0.0009690427099064059,3979236.1525537344
empirical_cmd_10k_c4c6_0,1,100,finite command impedance 10000 Ohm,10000,true,false,0.7280419230067877,0.7280419230067876,0.007265022071105841,-42.775261239583706,0.007264652277491339,-42.77570336739029,0.0024215507591637798,1591772.2307059818
empirical_cmd_10k_c4c6_0,1,1000,finite command impedance 10000 Ohm,10000,true,false,0.7280419230067877,0.7280419230067876,0.07222679637236026,-22.8260329578576,0.07222675959701289,-22.82603738040859,0.024075586532337632,160090.6159418997
empirical_cmd_10k_c4c6_0,1,5000,finite command impedance 10000 Ohm,10000,true,false,0.7280419230067877,0.7280419230067876,0.3197199896746526,-9.90460419455375,0.31971998316302536,-9.904604371456283,0.10657332772100846,36165.45365202069
empirical_cmd_10k_c4c6_0,1,15000,finite command impedance 10000 Ohm,10000,true,false,0.7280419230067877,0.7280419230067876,0.5730350932011785,-4.836375612417131,0.5730350919044218,-4.83637563207297,0.19101169730147396,20178.202159704844
empirical_cmd_10k_c4c6_0,1,20000,finite command impedance 10000 Ohm,10000,true,false,0.7280419230067877,0.7280419230067876,0.6112006300317209,-4.276324135140825,0.6112006292537137,-4.276324146197235,0.2037335430845712,18918.203547278143
empirical_cmd_10k_c4c6_0,1.25,40,finite command impedance 10000 Ohm,10000,true,false,0.7967840836635122,0.7967840836635122,0.002149231065177793,-53.35433781453485,0.0021476690861027426,-53.360652682454884,0.0007158896953675808,3979282.9563788148
empirical_cmd_10k_c4c6_0,1.25,100,finite command impedance 10000 Ohm,10000,true,false,0.7967840836635122,0.7967840836635122,0.005364883509351109,-45.408794073383746,0.005364257617724263,-45.40980746775297,0.0017880858725747542,1591765.9892529165
